,symbol,companyName,sectorKey,industryKey
3110,CUBA,The Herzfeld Caribbean Basin Fund Inc.,financial-services,asset-management
3111,CUE,"Cue Biopharma, Inc.",healthcare,biotechnology
3112,CUPR,Cuprina Holdings (Cayman) Limited,healthcare,medical-instruments-supplies
3113,CURI,CuriosityStream Inc.,communication-services,broadcasting
3114,CURR,CURRENC Group Inc.,N/A,N/A
3115,CVAC,CureVac N.V.,healthcare,biotechnology
3116,CVBF,CVB Financial Corp.,financial-services,banks-regional
3117,CVCO,"Cavco Industries, Inc.",consumer-cyclical,residential-construction
3118,CVGI,"Commercial Vehicle Group, Inc.",consumer-cyclical,auto-parts
3119,CVGW,"Calavo Growers, Inc.",consumer-defensive,food-distribution
3120,CVKD,"Cadrenal Therapeutics, Inc.",healthcare,biotechnology
3121,CVLT,"Commvault Systems, Inc.",technology,software-application
3122,CVRX,"CVRx, Inc.",healthcare,medical-devices
3123,CVV,CVD Equipment Corporation,industrials,specialty-industrial-machinery
3124,CWBC,Community West Bancshares,financial-services,banks-regional
3125,CWCO,Consolidated Water Co. Ltd.,utilities,utilities-regulated-water
3126,CWD,CaliberCos Inc.,financial-services,asset-management
3127,CWST,"Casella Waste Systems, Inc.",industrials,waste-management
3128,CXAI,CXApp Inc.,technology,software-application
3129,CXDO,"Crexendo, Inc.",communication-services,telecom-services
3130,CYBR,CyberArk Software Ltd.,technology,software-infrastructure
3131,CYCC,"Cyclacel Pharmaceuticals, Inc.",healthcare,biotechnology
3132,CYCN,"Cyclerion Therapeutics, Inc.",healthcare,biotechnology
3133,CYCU,"Cycurion, Inc.",technology,information-technology-services
3134,CYN,Cyngn Inc.,technology,software-application
3135,CYRX,"Cryoport, Inc.",industrials,integrated-freight-logistics
3136,CYTK,"Cytokinetics, Incorporated",healthcare,biotechnology
3137,CZFS,"Citizens Financial Services, Inc.",financial-services,banks-regional
3138,CZNC,Citizens & Northern Corporation,financial-services,banks-regional
3139,CZR,"Caesars Entertainment, Inc.",consumer-cyclical,resorts-casinos
3140,CZWI,"Citizens Community Bancorp, Inc.",financial-services,banks-regional
3141,DADA,Dada Nexus Limited,consumer-cyclical,internet-retail
3142,DAIO,Data I/O Corporation,technology,electronic-components
3143,DAKT,"Daktronics, Inc.",technology,electronic-components
3144,DALN,DallasNews Corporation,communication-services,publishing
3145,DARE,"Daré Bioscience, Inc.",healthcare,biotechnology
3146,DASH,"DoorDash, Inc.",communication-services,internet-content-information
3147,DATS,"DatChat, Inc.",technology,software-application
3148,DAVE,Dave Inc.,technology,software-application
3149,DAWN,"Day One Biopharmaceuticals, Inc.",healthcare,biotechnology
3150,DBVT,DBV Technologies S.A.,healthcare,biotechnology
3151,DBX,"Dropbox, Inc.",technology,software-infrastructure
3152,DCBO,Docebo Inc.,technology,software-application
3153,DCGO,DocGo Inc.,healthcare,medical-care-facilities
3154,DCOM,"Dime Community Bancshares, Inc.",financial-services,banks-regional
3155,DCTH,"Delcath Systems, Inc.",healthcare,medical-devices
3156,DDI,"DoubleDown Interactive Co., Ltd.",communication-services,electronic-gaming-multimedia
